split,image,label,readable,width,height,has_label,box_count,invalid_label_lines,classes,image_level_class
train,datasets/brain-tumor/images/train/00054_145.jpg,datasets/brain-tumor/labels/train/00054_145.txt,True,512,512,True,1,0,1,positive
train,datasets/brain-tumor/images/train/00054_164.jpg,datasets/brain-tumor/labels/train/00054_164.txt,True,512,512,True,1,0,1,positive
train,datasets/brain-tumor/images/train/00056_110.jpg,datasets/brain-tumor/labels/train/00056_110.txt,True,512,512,True,2,0,1,positive
train,datasets/brain-tumor/images/train/00056_129.jpg,datasets/brain-tumor/labels/train/00056_129.txt,True,512,512,True,1,0,1,positive
train,datasets/brain-tumor/images/train/00056_147.jpg,datasets/brain-tumor/labels/train/00056_147.txt,True,512,512,True,1,0,1,positive
train,datasets/brain-tumor/images/train/00056_239.jpg,datasets/brain-tumor/labels/train/00056_239.txt,True,512,512,True,1,0,1,positive
train,datasets/brain-tumor/images/train/00056_92.jpg,datasets/brain-tumor/labels/train/00056_92.txt,True,512,512,True,1,0,1,positive
train,datasets/brain-tumor/images/train/00058_102.jpg,datasets/brain-tumor/labels/train/00058_102.txt,True,512,512,True,1,0,1,positive
train,datasets/brain-tumor/images/train/00058_122.jpg,datasets/brain-tumor/labels/train/00058_122.txt,True,512,512,True,1,0,1,positive
train,datasets/brain-tumor/images/train/00058_141.jpg,datasets/brain-tumor/labels/train/00058_141.txt,True,512,512,True,1,0,1,positive
train,datasets/brain-tumor/images/train/00058_179.jpg,datasets/brain-tumor/labels/train/00058_179.txt,True,512,512,True,1,0,1,positive
train,datasets/brain-tumor/images/train/00059_103.jpg,datasets/brain-tumor/labels/train/00059_103.txt,True,512,512,True,1,0,1,positive
train,datasets/brain-tumor/images/train/00059_122.jpg,datasets/brain-tumor/labels/train/00059_122.txt,True,512,512,True,1,0,1,positive
train,datasets/brain-tumor/images/train/00059_141.jpg,datasets/brain-tumor/labels/train/00059_141.txt,True,512,512,True,1,0,1,positive
train,datasets/brain-tumor/images/train/00059_84.jpg,datasets/brain-tumor/labels/train/00059_84.txt,True,512,512,True,2,0,1,positive
train,datasets/brain-tumor/images/train/00060_69.jpg,datasets/brain-tumor/labels/train/00060_69.txt,True,512,512,True,2,0,1,positive
train,datasets/brain-tumor/images/train/00060_70.jpg,datasets/brain-tumor/labels/train/00060_70.txt,True,512,512,True,2,0,1,positive
train,datasets/brain-tumor/images/train/00060_71.jpg,datasets/brain-tumor/labels/train/00060_71.txt,True,512,512,True,1,0,1,positive
train,datasets/brain-tumor/images/train/00060_72.jpg,datasets/brain-tumor/labels/train/00060_72.txt,True,512,512,True,1,0,1,positive
train,datasets/brain-tumor/images/train/00061_108.jpg,datasets/brain-tumor/labels/train/00061_108.txt,True,512,512,True,1,0,0,negative
train,datasets/brain-tumor/images/train/00061_127.jpg,datasets/brain-tumor/labels/train/00061_127.txt,True,512,512,True,3,0,0,negative
train,datasets/brain-tumor/images/train/00061_146.jpg,datasets/brain-tumor/labels/train/00061_146.txt,True,512,512,True,1,0,0,negative
train,datasets/brain-tumor/images/train/00061_184.jpg,datasets/brain-tumor/labels/train/00061_184.txt,True,512,512,True,1,0,0,negative
train,datasets/brain-tumor/images/train/00063_197.jpg,datasets/brain-tumor/labels/train/00063_197.txt,True,512,512,True,1,0,1,positive
train,datasets/brain-tumor/images/train/00063_217.jpg,datasets/brain-tumor/labels/train/00063_217.txt,True,512,512,True,1,0,1,positive
train,datasets/brain-tumor/images/train/00064_101.jpg,datasets/brain-tumor/labels/train/00064_101.txt,True,512,512,True,2,0,0,negative
train,datasets/brain-tumor/images/train/00064_121.jpg,datasets/brain-tumor/labels/train/00064_121.txt,True,512,512,True,1,0,0,negative
train,datasets/brain-tumor/images/train/00064_140.jpg,datasets/brain-tumor/labels/train/00064_140.txt,True,512,512,True,1,0,0,negative
train,datasets/brain-tumor/images/train/00066_145.jpg,datasets/brain-tumor/labels/train/00066_145.txt,True,512,512,True,1,0,1,positive
train,datasets/brain-tumor/images/train/00066_221.jpg,datasets/brain-tumor/labels/train/00066_221.txt,True,512,512,True,1,0,1,positive
